Palette: 9
corruptionEffectColor: 0.7,0.7,0.4
corruptionEyeColor: 0.5,0.3,0
scavsDelayInitialMin: 2800
scavsDelayInitialMax: 3200
scavsDelayRepeatMin: 2300
scavsDelayRepeatMax: 5900
waterColorOverride: 0.05, 0.43, 0.41
pupSpawnChance: 0.25
Subregion: Glacial Wasteland
GlacialWasteland: 1
Room Setting Templates: Outside, Inside
Room_Attr: GATE_GW_SH: Scavenger-Avoid,
Room_Attr: GW_C06: Centipede-Like,RedCentipede-Like,DropBug-Like,
Room_Attr: GW_E02: Vulture-Like,RedCentipede-Avoid,Scavenger-Avoid,DropBug-Avoid,KingVulture-Like,ScavengerElite-Avoid,
Room_Attr: GW_B02: Vulture-Like,Centipede-Like,Scavenger-Avoid,KingVulture-Like,ScavengerElite-Avoid,
Room_Attr: GW_C03: Vulture-Like,RedCentipede-Avoid,Scavenger-Avoid,DropBug-Forbidden,KingVulture-Like,ScavengerElite-Avoid,
Room_Attr: GW_C05: Centipede-Forbidden,RedCentipede-Forbidden,DropBug-Forbidden,
Room_Attr: GW_A24: Vulture-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,
Room_Attr: GW_B05: Centipede-Like,DropBug-Like,
Room_Attr: GW_A20: Centipede-Like,DropBug-Like,
Room_Attr: GW_A19: Centipede-Like,DropBug-Like,
Room_Attr: GW_B01: Vulture-Avoid,Scavenger-Avoid,DropBug-Forbidden,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: GW_A01: Centipede-Like,RedCentipede-Like,DropBug-Like,
Room_Attr: GW_C01: Vulture-Like,Scavenger-Avoid,DropBug-Forbidden,KingVulture-Like,ScavengerElite-Avoid,
Room_Attr: GW_B04: Scavenger-Like,DropBug-Forbidden,ScavengerElite-Like,
Room_Attr: GW_A12: CyanLizard-Forbidden,Centipede-Stay,SmallCentipede-Stay,Scavenger-Like,DropBug-Avoid,ScavengerElite-Like,
Room_Attr: GW_A05: Snail-Like,Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: GW_A08: Snail-Like,Scavenger-Avoid,ScavengerElite-Avoid,
Room_Attr: GW_A06: Snail-Like,Scavenger-Avoid,ScavengerElite-Avoid,
