Palette: 6
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 21.0
overseersMin: 8
overseersMax: 12
scavsDelayInitialMin: 8800
scavsDelayInitialMax: 11200
scavsDelayRepeatMin: 8300
scavsDelayRepeatMax: 10900
earlyCycleChance: 0.0
earlyCycleFloodChance: 0.0
playerGuideOverseerSpawnChance: 0.5
pupSpawnChance: 0.01
ghostRelKarmaReq: 4
Subregion: Necropolis
Subregion: The Peak
Subregion: Dermis
Subregion: Abandoned Post
Room Setting Templates: Outside, Inside, Tower
Room_Attr: GATE_UW_LC: MirosBird-Forbidden,Scavenger-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: LC_B04: Slugcat-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Snail-Forbidden,Vulture-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: LC_splitpath: Vulture-Forbidden,MirosBird-Forbidden,Scavenger-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,Inspector-Forbidden,
Room_Attr: LC_shelter_above: Vulture-Forbidden,MirosBird-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,
Room_Attr: LC_entrancezone: Vulture-Avoid,MirosBird-Forbidden,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,Inspector-Forbidden,
Room_Attr: LC_cramped: Vulture-Avoid,MirosBird-Forbidden,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,Inspector-Forbidden,
Room_Attr: LC_C12: Vulture-Avoid,MirosBird-Forbidden,Scavenger-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,Inspector-Forbidden,
Room_Attr: LC_deepslumsuh: Vulture-Avoid,MirosBird-Forbidden,Overseer-Stay,KingVulture-Avoid,Inspector-Forbidden,
Room_Attr: LC_C05: Vulture-Like,MirosBird-Forbidden,Scavenger-Avoid,Overseer-Stay,KingVulture-Like,ScavengerElite-Avoid,Inspector-Forbidden,
Room_Attr: LC_scavtreasury: Vulture-Avoid,MirosBird-Forbidden,KingVulture-Avoid,Inspector-Forbidden,
Room_Attr: LC_longslum: Vulture-Avoid,MirosBird-Forbidden,Scavenger-Like,KingVulture-Avoid,ScavengerElite-Like,Inspector-Forbidden,
Room_Attr: LC_floorpipes: CyanLizard-Stay,Vulture-Avoid,MirosBird-Forbidden,Scavenger-Stay,KingVulture-Avoid,ScavengerElite-Like,Inspector-Forbidden,
