Palette: 17
albinos: true
waterColorOverride: 0.11, 0.51, 0.19
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.01
overseersMin: 1
overseersMax: 1
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.05
GlacialWasteland: 1
Subregion: Primordial Underground
Subregion: Bedrock
Subregion: Ancient Labyrinth
Room Setting Templates: Subway, Filter, Temple
Room_Attr: GATE_DS_SB: Vulture-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: GATE_SB_SL: SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,MirosVulture-Forbidden,
Room_Attr: GATE_LF_SB: SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: GATE_SB_OE: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,SlugNPC-Forbidden,JungleLeech-Forbidden,ZoopLizard-Forbidden,ScavengerKing-Forbidden,TrainLizard-Forbidden,
Room_Attr: SB_F03: Vulture-Forbidden,RedCentipede-Forbidden,Overseer-Stay,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: SB_A10: RedCentipede-Forbidden,Overseer-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,
