Palette: 0
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 7
overseersSpawnChance: 0.8
overseersMin: 0
overseersMax: 4
earlyCycleChance: 0.02
earlyCycleFloodChance: 0.33
playerGuideOverseerSpawnChance: 1.0
pupSpawnChance: 0.02
Subregion: Suburban Drifts
Room Setting Templates: Outside, Inside
Room_Attr: GATE_SU_HI: Vulture-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: GATE_LF_SU: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: GATE_OE_SU: Centiwing-Forbidden,
Room_Attr: SU_B13: Vulture-Forbidden,Centipede-Forbidden,Centiwing-Avoid,SmallCentipede-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A33: Vulture-Forbidden,Centipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_B04: PinkLizard-Like,GreenLizard-Like,BlueLizard-Like,YellowLizard-Like,WhiteLizard-Like,RedLizard-Like,BlackLizard-Like,Salamander-Like,Vulture-Avoid,Centiwing-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,KingVulture-Avoid,
Room_Attr: SU_A34: PinkLizard-Avoid,GreenLizard-Like,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,Centipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_A37: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,Vulture-Forbidden,Centiwing-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: SU_S04: PinkLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,Centiwing-Avoid,
