Palette: 16
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 1
overseersMin: 4
overseersMax: 8
earlyCycleChance: 0.02
earlyCycleFloodChance: 0.0
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.01
Subregion: Mudslide
Subregion: World's Ceiling
Subregion: Cliffside
Room Setting Templates: Leg, Underhang, Wall
Room_Attr: GATE_UW_SS: Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: GATE_CC_UW: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: GATE_SH_UW: Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: GATE_SS_UW: KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: GATE_UW_LC: CicadaA-Forbidden,CicadaB-Forbidden,MirosVulture-Forbidden,
Room_Attr: GATE_UW_SL: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_C08: Vulture-Forbidden,Scavenger-Forbidden,Overseer-Avoid,SpitterSpider-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: UW_C07: CicadaA-Forbidden,CicadaB-Forbidden,Overseer-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: UW_H01: CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Stay,Overseer-Avoid,DropBug-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Stay,
